Group,Greek females,Greek malesTuition and fees,3.39,3.9
Sexual assault,4.07,2.04
Mental health and wellness,3.84,3.22
Academic experience,3.67,4.82
Sustainability,2.11,2.32
Diversity,1.29,1.64
Crime,1.51,1.54
Divestment,0.12,0.52
