Group,Female,Male
Sexual assault,3.74,2.63
Mental health and wellness,3.59,3
Divestment,0.24,0.36
Tuition and fees,3.83,4.27
Sustainability,1.84,2.22
Diversity,1.77,1.62
Crime,1.39,1.65
Academic experience,3.59,4.25
