Group,White,East Asian,South Asian,Hispanic,Other
Sample,20,20,20,20,20
Student Action,45.71,24.76,17.14,1.90,10.48
CalSERVE,33.68,30.05,9.33,12.95,13.99
SQUELCH!,66.04,9.43,13.21,1.89,9.43
Other,24.46,41.63,12.02,3.86,18.03
None,45.16,16.13,6.45,16.13,16.13
