Group,Always,Very often,Occasionally,Never
White,1.36,6.79,53.85,38.01
East Asian,3.66,4.71,53.93,37.70
South Asian,1.37,9.59,49.32,39.73
Hispanic/Latino,2.38,30.95,42.86,23.81
Other race,5.21,19.79,44.79,30.21
