Group,LGBTIQQA,Not LGBTIQQA
Tuition and fees,3.74,4.04
Sexual assault,3.71,3.23
Mental health and wellness,3.6,3.3
Academic experience,2.77,3.99
Sustainability,1.76,2.06
Diversity,2.96,1.52
Crime,0.85,1.63
Divestment,0.62,0.23
