Group,Yordanos Dejen,Milad Razavi,Other
Friend,30.58,51.06,32.43
Acquaintance,12.37,12.06,11.71
In-person campaigning,13.40,23.40,15.32
Online campaign materials,56.70,31.91,46.85
Party affiliation,47.77,30.50,22.52
