Group,Very liberal,Liberal,Moderate,Conservative
All responses,15.88,46.03,31.93,6.16
Student Action,5.71,46.67,35.24,12.38
CalSERVE,29.90,50,20.10,0
SQUELCH!,18.87,47.17,28.30,5.66
None,7.69,44.87,39.74,7.69
