Group,Female,MaleTuition and fees,3.82,4.25
Sexual assault,3.76,2.62
Mental health and wellness,3.59,2.98
Academic experience,3.57,4.18
Sustainability,1.86,2.25
Diversity,1.76,1.69
Crime,1.41,1.65
Divestment,0.24,0.38
