Group,White,East Asian,South Asian,Hispanic/Latino,Other race
All responses,35.82,30.96,11.83,6.81,14.59
Student Action,45.71,24.76,17.14,1.90,10.48
CalSERVE,34.02,29.90,12.89,9.28,13.92
SQUELCH!,66.04,9.43,13.21,1.89,9.43
None,24.79,41.45,11.97,3.85,17.95
