Group,Yordanos Dejen (CS),Milad Razavi (SA),Jake Fineman (SQ),Other
Student Action,17,73,1,9
CalSERVE,91.40,1.61,2.15,4.84
SQUELCH!,29.41,19.61,41.48,9.80
None,47.31,31.14,8.98,12.57
