Group,White,East Asian,South Asian,Hispanic/Latino,Other
Tuition and fees,3.67,4.48,3.95,4.1,3.75
Sexual assault,3.58,2.93,3.38,3.81,3.05
Mental health and wellness,3.41,3.2,3.38,3.43,3.45
Academic experience,3.71,4.22,4.08,2.57,3.47
Sustainability,2.36,1.93,1.71,1.62,1.77
Diversity,1.58,1.50,1.44,2.98,2.30
Crime,1.35,1.66,1.82,1.10,1.52
Divestment,0.33,0.08,0.23,0.4,0.69
